TIME,TORSO_PELVIC_ANGLE_Z,RT_ELBOW_ANGLE_X,RT_SHOULDER_ANGLE_Z,RT_SHOULDER_ANGLE_X,RT_SHOULDER_ANGLE_Y,LT_KNEE_ANGLE_X,LT_KNEE_ANGULAR_VELOCITY,TORSO_ANGLE_X,TORSO_ANGLE_Y,PELVIC_ANGULAR_VELOCITY,TORSO_ANGULAR_VELOCITY,RT_ELBOW_ANGULAR_VELOCITY,RT_SHOULDER_ANGULAR_VELOCITY
5.024,37.61045094383464,115.25958774150902,40.63278867389355,48.911500208994454,71.87537500374442,46.68432815097256,483.1181920458315,1.7858949452087378,7.519057961652203,405.8180520415046,567.6003434899691,-299.5731200053052,-890.7030884904482
5.028,37.08060181537924,116.384698227014,43.76396496782163,50.18886176860936,71.56940471381544,44.92554714507278,423.77648072645394,0.8611099471117768,8.153935159789091,413.8543965643698,557.0582783545298,-263.90950878348974,-884.6422511663751
5.032,36.662475374671544,117.36182757700475,46.99110657913541,51.122414143901345,71.27225977349563,43.45695873737846,339.7742230501221,-0.17943887811450768,8.892862041128032,416.32002547549126,539.7540495502636,-226.08238070911253,-880.5605261040301
5.036,36.352918608392656,118.18561746725676,50.37507720831049,51.580158890763634,70.93403058886305,42.37177696530551,235.46408054228638,-1.285588858137773,9.718416198681355,412.94173717880636,519.7299649455074,-187.85355013489328,-879.6151961946154
5.04,36.13130358059556,118.85838564362156,53.97049064630583,51.45924030340663,70.50900411370169,41.73897341959142,117.90295373222997,-2.4036880013448316,10.610954902543522,404.8095674371674,501.78546144793506,-151.16010310350285,-882.4023432563416
5.044,35.96241925487846,119.39001151301616,57.817922193347286,50.7027867069155,69.96262943003359,41.59347270144225,-3.876385067130255,-3.480617714235072,11.551565572346368,393.9738847019833,490.77027619479435,-117.6969197800648,-889.1630647946783
5.048,35.80034367092174,119.79610098546927,61.939250160393584,49.30957114589981,69.27603352007927,41.93039311908668,-120.01120905403417,-4.466631699089451,12.524643759226075,382.8647461523381,490.80775078405384,-88.51401905276566,-899.959375193977
5.052,35.59290101576745,120.09471420880698,66.3364118198068,47.33485992335798,68.4480370615916,42.704670200525435,-221.15373915763124,-5.317222664352365,13.519663213705238,373.6929298332424,504.60569754142614,-63.73631829915017,-914.7515346064671
5.056,35.28638066446441,120.30235400181029,70.99309450128871,44.88272057027274,67.49520685835996,43.836324222639035,-299.7496877852761,-5.994543716578869,14.531873560239097,367.9779094602232,532.9874009229171,-42.49413999584671,-933.3651423746703
5.06,34.83030330712593,120.43018772373345,75.87847903670945,42.09156443835611,66.45052142692032,45.2204872112016,-351.0105232411294,-6.4688246406392835,15.561876406967045,366.30087396916105,574.7204520407219,-23.10092994597169,-955.3927686105243
5.064,34.182107771914076,120.48147883669122,80.95215238812379,39.11551761811867,65.36090947964101,46.7404037561936,-373.4190812165566,-6.719836046497313,16.61424124621526,368.31462941765335,626.6625009250077,-3.438330681121808,-980.1123303965453
5.068,33.31160785537217,120.45087463706017,86.16955972480484,36.10446633687774,64.28364937809215,48.281168437036555,-368.7115618527315,-6.738019919448161,17.69548393905779,372.97597679075795,684.1990389288054,18.565353715007117,-1006.5109042772627
5.072,32.20488837649675,120.32561233981701,91.48762591423812,33.18560853898986,63.28168892245405,49.74201417195684,-341.37907707904225,-6.524676479670606,18.81181108464563,378.9176359248993,741.9162824642093,44.513961826974146,-1033.47198973196
5.076,30.867062249043983,120.08808743246286,96.87025588242216,30.449194226231107,62.41832583272134,51.045439803255576,-297.8099823767008,-6.090703458886131,19.96702296307589,384.8544651928995,794.417745307012,75.30606399991377,-1060.1218609955658
5.08,29.32317741830494,119.71884300756064,102.29331950283223,27.940694809812907,61.752045398673395,52.142192754480874,-245.24090547577896,-5.453774772892958,21.160887192546017,389.9204353094684,837.1527841694491,111.13213018557259,-1086.2576427344243
5.084,27.616694535223168,119.19903222697037,107.74859614371553,25.660660580350637,61.33231043553765,53.011914777035834,-190.69999177292914,-4.6343391965417995,22.388184009818616,393.8526097594824,867.0958121833663,151.67330856951503,-1112.7230834890427
5.088,25.805377036305323,118.51169575898528,113.24614294246932,23.57200735995188,61.19672359166035,53.65996876439781,-140.11376429123675,-3.651223858905975,23.638506937417375,396.97405337129646,883.1220906263633,196.42287380091014,-1141.5760626033891
5.092,23.955022519440856,117.64156044524987,118.81464793050496,21.612822637637528,61.369521428997714,54.11149647899267,-97.70788454112298,-2.5178211234677836,24.896779939290866,399.9790167499945,885.9862088238218,245.05297667380003,-1175.9087063553716
5.096,22.132008761703645,116.57334387409898,124.49939015718438,19.7116083623996,61.861099848945315,54.4040408177988,-65.76232968005566,-1.239774241412944,26.144326848828157,403.58363059180795,877.9115204654121,297.7713615256648,-1219.2288223826056
5.1,20.395942564445296,115.2887366397395,130.35732352955367,17.801625408151068,62.66826482187418,54.58006361291779,-44.69885545346214,0.18522039669852589,27.360228587066306,408.1545265413782,861.9065523581451,355.6246170019589,-1274.3804677823089
5.104,18.793690126411374,113.76241281605894,136.4485543569163,15.831728690239622,63.775008733134094,54.6804333063802,-33.41294960533755,1.7653250122113706,28.522667813934397,413.44301571683803,840.9987367331726,420.6972246244166,-1342.0722651217916
5.108,17.355729853609795,111.95765463704579,142.82333139754726,13.772475166825785,65.15366246464477,54.7395579979137,-29.737195710857293,3.5105123228509494,29.6100134364557,418.5212764642788,817.5935058595866,496.13909783069846,-1419.2006862663386
5.112,16.095186388840524,109.82247088801874,149.50397867766029,11.61782069474083,66.76620973658297,54.782436607564655,-30.936984886780085,5.427335463803142,30.601530616626285,421.9481061439593,793.1224554331633,585.943205306486,-1497.2922905356613
5.116,15.009255520150635,107.28738793735822,156.46226708488518,9.383826756180706,68.56547295817394,54.82358551360957,-34.170823670139846,7.5136222328791105,31.477766488889415,422.1126544000917,768.0498670304878,694.4010387216151,-1561.5054857810158
5.12,14.082235629658962,104.26631014769598,163.5945291562423,7.106089342400027,70.49596645467156,54.8675863020636,-36.87390657685235,9.754329296575605,32.22078425824093,417.64726412789537,742.1913946839624,825.1969931226138,-1590.6711539917037
5.124,13.289212148172565,100.66185927133817,170.6989446478557,4.837054996019347,72.49455437471926,54.91086726402981,-37.0390456956517,12.119656692594509,32.81444533307198,407.7852166469408,715.2006944847283,980.1724817603587,-1558.7603724205067
5.128,12.59962446891627,96.37625461414278,177.46110975307718,2.643350820889502,74.49153577880921,54.94425640075024,-33.38067862835952,14.566095548103558,33.24486879796184,392.5664145215583,687.0344642145092,1157.899724139162,-1437.928265543869
5.132,11.980337503406073,91.3279440322215,183.45444566029022,0.6022874308074296,76.41312479851517,54.95582272832304,-25.381974751169967,17.04041875058486,33.50107733236193,372.8481365379345,658.2306007577672,1352.3392533011934,-1202.9292930919682
5.136,11.398211743359226,85.47280128558313,188.16067583278885,-1.2036883325920351,78.18619005777003,54.93355649485221,-13.239407017800708,19.485885470961687,33.57574332205115,350.1352987423948,629.9146466037166,1551.9738156278588,-836.3131046982297
5.14,10.822345573487704,78.82694894055604,191.0125009561497,-2.6953980925006475,79.74542352699345,54.867523477794194,2.2731332969413356,21.84934338147043,33.46593599417166,326.28505439023974,603.5490349514138,1739.850333475733,-333.49711045130874
5.144,10.226135247645077,71.48661963136473,191.4562843673287,-3.8079894569817516,81.04201524403409,54.75125088347821,19.997259108853736,24.08769269139828,33.17382943113549,303.1577682209589,580.5192232395293,1894.8602506613531,293.3390128123226
5.148,9.589171233321448,63.63959079566129,189.02793349475868,-4.503305845581291,82.05192184404955,54.58224400451948,38.61390653448554,26.172423844732183,32.70738615868645,282.28600964160466,561.6889458276943,1994.3348845126263,1013.5443879890448
5.152,8.898884080798453,55.56317287004611,183.43111997517812,-4.781396101138733,82.78145374861204,54.361677812776655,56.86479029367447,28.0915532498944,32.08101035749351,264.62129744963306,547.0517361723786,2017.6827699328883,1779.2471099226743
5.156,8.151802228228949,47.60569002982895,174.60424979191467,-4.688661228427228,83.2683598406504,54.09344262838144,73.73384942279992,29.848980996301297,31.316065773754257,250.39721987968542,535.5694185780735,1950.445780828862,2529.9249278997468
5.16,7.354252778119487,40.15164436358796,162.76191448958042,-4.3203546063681415,83.57768591624288,53.78282757763091,88.5578133494338,31.461802449019956,30.441038186966985,239.12105264196398,525.2373713862132,1787.896738789834,3200.0501999505054
5.164,6.522302205174909,33.57471190639075,148.39879287573638,-3.8159529950439146,83.79306481051186,53.43517219518734,101.05408281856579,32.956310734310165,29.49107044983341,229.68158638012716,513.3662258266278,1537.2333830576108,3728.783672049193
5.168,5.680721704615755,28.186442581532678,132.24972704094512,-3.3472735334480688,84.00530579749407,53.05478575156486,111.27813463648609,34.363394530217946,28.50666048848139,220.54567894917574,497.0304872842569,1217.621531397046,4069.9006595816136
5.172,4.860816143779935,24.190812199833807,115.20856503135606,-3.1008773233231754,84.30072064654516,52.64432979729571,119.54030584764499,35.71390574347055,27.531484977089814,210.01200414403155,473.6094746889927,857.829444773364,4199.637491496239
5.176,4.097115990087566,21.654477895751533,98.21843254889505,-3.2577646407306204,84.75134936281961,52.204711035296725,126.316501772991,37.03447522193632,26.609534561375792,196.4923972227147,441.3313288950559,491.8746707787646,4120.296503414086
5.18,3.4232072327958316,20.49933300423708,82.15409230120672,-3.974086869266942,85.4084035173517,51.7353838325773,132.18053067961455,38.34425611254564,25.78193036910677,178.79067664567802,399.7228385427972,153.72307105058522,3858.4330325702126
